Pay Period Start,Pay Period End,Employee ID,Employee Name,Position,Hours Worked,Gross Pay
2024-01-01,2024-01-15,101,John Smith,Server,80,1200.00
2024-01-01,2024-01-15,102,Jane Doe,Cook,85,1530.00
2024-01-01,2024-01-15,103,Mike Johnson,Manager,80,2400.00
2024-01-01,2024-01-15,104,Sarah Williams,Server,75,1125.00
2024-01-01,2024-01-15,105,Tom Brown,Cook,80,1440.00
2024-01-16,2024-01-31,101,John Smith,Server,82,1230.00
2024-01-16,2024-01-31,102,Jane Doe,Cook,88,1584.00
2024-01-16,2024-01-31,103,Mike Johnson,Manager,80,2400.00
2024-01-16,2024-01-31,104,Sarah Williams,Server,78,1170.00
2024-01-16,2024-01-31,105,Tom Brown,Cook,84,1512.00
2024-02-01,2024-02-15,101,John Smith,Server,76,1140.00
2024-02-01,2024-02-15,102,Jane Doe,Cook,82,1476.00
2024-02-01,2024-02-15,103,Mike Johnson,Manager,80,2400.00
2024-02-01,2024-02-15,104,Sarah Williams,Server,72,1080.00
2024-02-01,2024-02-15,105,Tom Brown,Cook,78,1404.00
2024-02-16,2024-02-29,101,John Smith,Server,80,1200.00
2024-02-16,2024-02-29,102,Jane Doe,Cook,86,1548.00
2024-02-16,2024-02-29,103,Mike Johnson,Manager,80,2400.00
2024-02-16,2024-02-29,104,Sarah Williams,Server,74,1110.00
2024-02-16,2024-02-29,105,Tom Brown,Cook,82,1476.00
